variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,,"The case ends with Send for Credit Collection without payment or appeal resolution, falling outside the defined categories.",,timely_payment,1.0,,0.0017314013093709946
V0002,timely_payment,The offender promptly pays the fine shortly after creation.,4.0,judicial_appeal,2.0,0.5543344616889954,0.15407751500606537
V0003,,The case terminates at Send Fine without any payment or appeal closure.,,timely_payment,1.0,,0.002686103107407689
V0004,timely_payment,The fine is eventually paid following notification and penalty addition.,1.0,judicial_appeal,1.0,0.34711527824401855,6.770990876248106e-05
V0005,timely_payment,The case concludes with payments resolving the fine.,0.0,judicial_appeal,1.0,0.009764855727553368,0.0028145748656243086
V0006,timely_payment,The case concludes with payments resolving the fine.,2.0,judicial_appeal,1.0,0.0203302763402462,0.007750845979899168
V0007,timely_payment,The fine is paid directly following dispatch.,3.0,judicial_appeal,1.0,0.3969145119190216,0.00334247131831944
V0008,administrative_appeal,The process includes submitting an administrative appeal to the Prefecture.,2.0,timely_payment,1.0,0.3583296239376068,0.008198990486562252
V0009,,"Despite a payment step, the case ultimately goes to credit collection.",,timely_payment,1.0,,0.00039125734474509954
V0010,,The case ends with Send for Credit Collection despite an intermediate payment.,,timely_payment,1.0,,0.0023278126027435064
V0011,administrative_appeal,The process involves an administrative appeal submitted to the Prefecture.,3.0,timely_payment,1.0,0.3523803651332855,0.0141482288017869
V0012,timely_payment,"The case involves a payment followed by fine dispatch, realizing timely payment.",4.0,judicial_appeal,1.0,0.7589178085327148,0.02757914364337921
V0013,administrative_appeal,The process features an administrative appeal to the Prefecture resulting in notification and payment.,2.0,judicial_appeal,1.0,0.0,0.00016303516167681664
V0014,judicial_appeal,The case involves an appeal to the Judge.,4.0,timely_payment,1.0,0.004910557065159082,0.0032684020698070526
V0015,administrative_appeal,The narrative consists of steps for an administrative appeal to the Prefecture.,4.0,timely_payment,1.0,0.3792594373226166,0.012195822782814503
V0016,administrative_appeal,"The case includes an administrative appeal to the Prefecture, subsequent result, and payment.",2.0,judicial_appeal,1.0,0.007717736065387726,0.00039111418300308287
V0017,judicial_appeal,"The case involves an appeal to the Judge, ultimately terminating in credit collection.",4.0,timely_payment,2.0,0.36476027965545654,0.0004219587426632643
V0018,timely_payment,The case involves payment activities resolving the fine.,2.0,judicial_appeal,2.0,0.020082570612430573,0.00750314025208354
V0019,administrative_appeal,The case features an administrative appeal to the Prefecture before ending in credit collection.,2.0,judicial_appeal,1.0,0.3865865468978882,0.004816525150090456
V0020,administrative_appeal,The case involves an administrative appeal to the Prefecture before ending in credit collection.,2.0,judicial_appeal,1.0,0.37520959973335266,0.008967479690909386
V0021,timely_payment,The case is resolved through multiple payment events.,1.0,judicial_appeal,1.0,0.02844109572470188,0.003935260698199272
V0022,administrative_appeal,The process includes an administrative appeal to the Prefecture and concludes with payment.,3.0,judicial_appeal,1.0,0.008850532583892345,0.0013636029325425625
V0023,timely_payment,The case is resolved through payment events.,4.0,judicial_appeal,1.0,0.06956422328948975,0.03589702770113945
V0024,timely_payment,The case is resolved through payment events.,2.0,merged_closure,1.0,0.02426699362695217,0.0094001991674304
V0025,administrative_appeal,The case involves an administrative appeal to the Prefecture before ending in credit collection.,3.0,judicial_appeal,1.0,0.38479360938072205,0.006609482225030661
V0026,,"The narrative ends with Send for Credit Collection, which does not fit any of the four resolution categories of timely payment, merged closure, administrative appeal, or judicial appeal.",,timely_payment,1.0,,0.00011408588761696592
V0027,judicial_appeal,"The narrative culminates in an Appeal to Judge following an administrative appeal process, realizing the judicial appeal category.",1.0,administrative_appeal,1.0,0.3660099506378174,0.33392608165740967
V0028,timely_payment,"The process resolves directly via payment activities, realizing the timely payment category.",2.0,administrative_appeal,2.0,0.049650680273771286,0.01598348654806614
V0029,judicial_appeal,"The process proceeds directly to an Appeal to Judge after fine dispatch and notification, realizing judicial appeal.",3.0,timely_payment,1.0,0.3911440074443817,0.3334622085094452
V0030,administrative_appeal,"The process goes through the administrative appeal workflow and finishes with Notify Result Appeal to Offender, realizing administrative appeal.",1.0,judicial_appeal,1.0,0.3495374023914337,0.005577780772000551
V0031,judicial_appeal,"The process involves an Appeal to Judge followed eventually by payment, realizing the judicial appeal trajectory.",4.0,timely_payment,1.0,0.013191587291657925,0.005012627691030502
V0032,administrative_appeal,"The process concludes at Receive Result Appeal from Prefecture, realizing the administrative appeal category.",2.0,merged_closure,1.0,0.3650336265563965,0.016697769984602928
V0033,judicial_appeal,"The narrative includes an administrative appeal sequence followed by an Appeal to Judge and final payment, realizing judicial appeal.",2.0,administrative_appeal,1.0,0.000639535894151777,0.004574260208755732
V0034,administrative_appeal,"The process follows the steps of an administrative appeal to the Prefecture, concluding with Notify Result Appeal to Offender.",2.0,judicial_appeal,1.0,0.3446713387966156,0.0007117166533134878
V0035,judicial_appeal,"The narrative executes an administrative appeal and subsequently proceeds to Appeal to Judge, realizing judicial appeal.",1.0,administrative_appeal,1.0,0.3708268105983734,0.3336153030395508
V0036,timely_payment,"The case resolves through payment activities after fine dispatch, realizing timely payment.",2.0,judicial_appeal,2.0,0.0204396340996027,0.007860205136239529
V0037,judicial_appeal,"The process includes an Appeal to Judge before concluding with payment, realizing judicial appeal.",4.0,timely_payment,1.0,0.35460230708122253,0.00041855929885059595
V0038,administrative_appeal,"The process completes with Receive Result Appeal from Prefecture, realizing administrative appeal.",2.0,merged_closure,1.0,0.34856221079826355,0.00022634101333096623
V0039,merged_closure,"The process includes an administrative appeal step followed directly by payment without normal conclusion, fitting the merged closure category.",0.0,administrative_appeal,1.0,0.0,5.510637038241839e-06
V0040,judicial_appeal,"The narrative involves an Appeal to Judge before concluding in credit collection, realizing judicial appeal.",4.0,timely_payment,2.0,0.36463555693626404,0.0005467074806801975
V0041,administrative_appeal,"The process follows an administrative appeal leading to notification and final payment, realizing administrative appeal.",3.0,judicial_appeal,1.0,0.010039043612778187,0.0004875297599937767
V0042,merged_closure,"The process combines administrative appeal steps and payment closure, realizing the merged closure category.",2.0,administrative_appeal,1.0,0.010985132306814194,0.00016303516167681664
V0043,merged_closure,"The narrative shows an early payment combined with standard fine processing and credit collection, fitting merged closure.",4.0,timely_payment,1.0,0.35509395599365234,0.0012078725267201662
V0044,timely_payment,"The narrative resolves entirely through repeated payment activities, realizing timely payment.",1.0,judicial_appeal,1.0,0.008993745781481266,0.002809768309816718
V0045,timely_payment,"The case concludes via multiple payment actions after fine processing, realizing timely payment.",2.0,judicial_appeal,1.0,0.036024466156959534,0.0002470270555932075
V0046,administrative_appeal,"The process is an administrative appeal to the Prefecture ending with notification, realizing administrative appeal.",1.0,judicial_appeal,1.0,0.3550299108028412,0.011070291511714458
V0047,judicial_appeal,"The narrative completes an administrative appeal sequence and escalates to Appeal to Judge, realizing judicial appeal.",2.0,administrative_appeal,1.0,0.3668537437915802,0.33358433842658997
V0048,timely_payment,"The process consists entirely of fine creation and prompt payments, realizing timely payment.",3.0,merged_closure,1.0,0.05466971918940544,0.021002525463700294
V0049,merged_closure,"The process merges administrative appeal activities and subsequent payment closure, realizing merged closure.",3.0,administrative_appeal,1.0,0.006687911693006754,0.00022560743673238903
V0050,merged_closure,"The narrative combines administrative appeal steps with payment settlement, realizing merged closure.",1.0,administrative_appeal,1.0,0.02167474292218685,0.0004875297599937767
V0051,,"The case ends with Send for Credit Collection, which does not fit prompt payment, administrative appeal, or judicial appeal as a resolution path.",,administrative_appeal,1.0,,0.00021177421149332076
V0052,administrative_appeal,"The narrative involves sending an appeal to the Prefecture, indicating an administrative appeal to the Prefecture.",4.0,timely_payment,1.0,0.3942135274410248,0.003967140335589647
V0053,administrative_appeal,The narrative includes steps for an administrative appeal to the Prefecture along with subsequent payment.,3.0,judicial_appeal,1.0,0.3641248047351837,0.002403764985501766
V0054,timely_payment,The case resolves through a payment activity without any administrative or judicial appeals.,2.0,administrative_appeal,1.0,0.33618342876434326,0.0010657456004992127
V0055,administrative_appeal,The narrative proceeds through an administrative appeal to the Prefecture.,4.0,timely_payment,2.0,0.42530348896980286,0.004405503626912832
V0056,judicial_appeal,"The narrative includes an appeal to the Judge, leading to judicial appeal.",2.0,administrative_appeal,1.0,0.0,0.005213795695453882
V0057,,The case ends with Send for Credit Collection after a series of appeal and collection steps.,,judicial_appeal,1.0,,0.0016907023964449763
V0058,administrative_appeal,The narrative records an administrative appeal process ending at the result from the Prefecture.,3.0,timely_payment,1.0,0.33524879813194275,0.013087053783237934
V0059,,The case involves an administrative appeal sequence but ultimately ends with Send for Credit Collection.,,judicial_appeal,1.0,,0.009126193821430206
V0060,timely_payment,The case resolves through multiple payment actions representing prompt payment behavior.,3.0,judicial_appeal,2.0,0.014461059123277664,0.0018816288793459535
V0061,timely_payment,The case finishes with payment activity following fine notification and appeal steps.,2.0,merged_closure,1.0,0.006561636459082365,0.0011376558104529977
V0062,administrative_appeal,The process includes an administrative appeal to the Prefecture before final payment.,2.0,merged_closure,1.0,0.004248257726430893,0.000877381069585681
V0063,judicial_appeal,The narrative directly proceeds to an appeal to the Judge.,5.0,timely_payment,1.0,0.40760472416877747,0.3344395160675049
V0064,administrative_appeal,"The case includes receiving appeal results from the Prefecture before payment, realizing an administrative appeal.",2.0,merged_closure,1.0,0.0074508520774543285,0.002763284370303154
