2026-09-04 14:20:18,219 [INFO] goalcat: Run environment: host=Mac-Daniel.local, platform=macOS-26.6.2-arm64-arm-64bit-Mach-O, python=3.14.6, cpu_count=8, total_ram_gib=8.0
2026-09-04 14:20:18,220 [INFO] goalcat: ICPM 2027 condition run starting: run_id=icpm2027_e1_label_list_rep2, steps=[6], taxonomy_mode=open, goal_model=None
2026-09-04 14:20:18,221 [INFO] goalcat: Step 6 (narrative assignment) started for log: /Users/danielcalegari/vsc-workspace/GoalCat/data/logs/bpic2019.xes.gz
2026-09-04 14:20:18,221 [INFO] goalcat: Loading profiles/narratives from existing run directory: /Users/danielcalegari/vsc-workspace/GoalCat/data/output/bpic2019/icpm2027_e1_label_list_rep2
2026-09-04 14:20:18,665 [INFO] goalcat: Loading taxonomy from: /Users/danielcalegari/vsc-workspace/GoalCat/data/output/bpic2019/icpm2027_e1_label_list_rep2/round1/05_taxonomy/taxonomy.json
2026-09-04 14:20:18,680 [INFO] goalcat: Assigning 11973 narratives against 4 categories (model=gemini/gemini-3.5-flash-lite, batch_size=25, concurrency=5)
2026-09-04 14:20:24,984 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=1b5989b3d18676b1, latency=4.68s)
2026-09-04 14:20:25,016 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=c5c6778d842b1a18, latency=4.71s)
2026-09-04 14:20:25,138 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=6bebe7f1bc9c4c46, latency=4.83s)
2026-09-04 14:20:25,793 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=10d918fda203cecd, latency=5.49s)
2026-09-04 14:20:25,930 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=a1f21d0b2a9a9803, latency=5.62s)
2026-09-04 14:20:29,419 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=7ff430b89c53f233, latency=4.40s)
2026-09-04 14:20:29,466 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=81b75b5309be0c32, latency=4.48s)
2026-09-04 14:20:30,095 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=3127b23312786adb, latency=4.96s)
2026-09-04 14:20:30,738 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=cdb56ab5bebf8a9c, latency=4.94s)
2026-09-04 14:20:31,015 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=0afc09748b361c02, latency=5.08s)
2026-09-04 14:20:34,068 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=ff3006d9fa67a85a, latency=4.65s)
2026-09-04 14:20:34,087 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=86b4aa5684fb4d7e, latency=4.62s)
2026-09-04 14:20:34,328 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=23416fef95c70f52, latency=4.23s)
2026-09-04 14:20:35,519 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=9f684699e204c65f, latency=4.78s)
2026-09-04 14:20:35,725 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=a127d9970a4f531f, latency=4.71s)
2026-09-04 14:20:38,900 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=0a9debd7c914fa30, latency=4.83s)
2026-09-04 14:20:38,970 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=c3b5ec0fceb6497c, latency=4.88s)
