variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,coercive_credit_collection,"The narrative ends with Send for Credit Collection after penalties and notifications, realizing coercive credit collection.",2.0,delinquent_payment,1.0,0.017405163496732712,0.33374977111816406
V0002,timely_payment,Prompt payment shortly after fine creation realizes timely payment.,1.0,delinquent_payment,2.0,0.4996647834777832,0.15407751500606537
V0003,,"The case ends after Send Fine without payment or further enforcement/appeal steps, so it does not fit any definitive resolution category.",,timely_payment,1.0,,0.33492860198020935
V0004,delinquent_payment,"Resolution via payment after notifications, penalties, and a long delay realizes delinquent payment.",2.0,coercive_credit_collection,1.0,0.3370155990123749,6.770990876248106e-05
V0005,delinquent_payment,Resolution via repeated payments after penalties realizes delinquent payment.,1.0,coercive_credit_collection,1.0,0.01986452005803585,0.0028145748656243086
V0006,delinquent_payment,Late payment involving notifications and penalties realizes delinquent payment.,2.0,coercive_credit_collection,1.0,0.030429942533373833,0.004125290084630251
V0007,timely_payment,Prompt payment shortly after sending the fine realizes timely payment.,0.0,delinquent_payment,1.0,0.3422447741031647,0.00334247131831944
V0008,administrative_appeal_prefecture,"The process involves an appeal to the prefecture, realizing administrative appeal to the prefecture.",2.0,delinquent_payment,1.0,0.3583296239376068,0.10245946794748306
V0009,coercive_credit_collection,"Despite an intermediate payment attempt, the case ultimately ends in coercive credit collection.",2.0,delinquent_payment,1.0,0.018745308741927147,0.33508992195129395
V0010,coercive_credit_collection,"Ends in Send for Credit Collection following penalties and notifications, realizing coercive credit collection.",3.0,delinquent_payment,1.0,0.022672250866889954,0.3334667682647705
V0011,administrative_appeal_prefecture,"Involves inserting and sending an appeal to the prefecture, realizing administrative appeal to the prefecture.",3.0,delinquent_payment,1.0,0.3523803651332855,0.09651023149490356
V0012,,"The case contains payment followed by sending the fine, which does not cleanly map to the standard lifecycle categories.",,timely_payment,1.0,,0.33692148327827454
V0013,administrative_appeal_prefecture,"Involves an administrative appeal through the prefecture and subsequent notification of results before payment, realizing administrative appeal to the prefecture.",2.0,coercive_credit_collection,1.0,0.0,0.0031689032912254333
V0014,delinquent_payment,"Involves a judge appeal and penalty, ending in late payment, which aligns with delinquent payment due to the enforcement and delay steps.",3.0,coercive_credit_collection,1.0,0.3591793477535248,0.006005100905895233
V0015,administrative_appeal_prefecture,"Involves preparing and sending an appeal to the prefecture, realizing administrative appeal to the prefecture.",4.0,timely_payment,1.0,0.3792594373226166,0.12338931113481522
V0016,administrative_appeal_prefecture,"Includes a prefecture appeal cycle and result notification prior to payment, realizing administrative appeal to the prefecture.",2.0,coercive_credit_collection,1.0,0.007717736065387726,0.00039111418300308287
V0017,coercive_credit_collection,"Results in Send for Credit Collection after an appeal to a judge and penalties, realizing coercive credit collection.",3.0,delinquent_payment,1.0,0.009527665562927723,0.33523401618003845
V0018,delinquent_payment,"Involves late payment following notifications and penalties, realizing delinquent payment.",3.0,coercive_credit_collection,1.0,0.030182234942913055,0.0038775841239839792
V0019,coercive_credit_collection,"After going through a prefecture appeal, the case ultimately results in credit collection, realizing coercive credit collection.",2.0,administrative_appeal_prefecture,1.0,0.0,0.33612170815467834
V0020,coercive_credit_collection,"Despite a full prefecture appeal sequence, the case ends in coercive credit collection.",2.0,administrative_appeal_prefecture,1.0,0.011376958340406418,0.3356766998767853
V0021,delinquent_payment,"Resolved via repeated payments after penalties, realizing delinquent payment.",0.0,coercive_credit_collection,1.0,0.0183414313942194,0.0022316898684948683
V0022,administrative_appeal_prefecture,"Involves a complete prefecture appeal process followed by payment, realizing administrative appeal to the prefecture.",3.0,coercive_credit_collection,1.0,0.008850532583892345,0.0013636029325425625
V0023,timely_payment,Early payments soon after fine creation realize timely payment.,1.0,delinquent_payment,1.0,0.014894504100084305,0.011123479343950748
V0024,delinquent_payment,Late payment after notification and penalty application realizes delinquent payment.,3.0,coercive_credit_collection,1.0,0.0343666598200798,0.008062007836997509
V0025,coercive_credit_collection,Involves a prefecture appeal followed by final coercive credit collection.,2.0,administrative_appeal_prefecture,1.0,0.0017929569585248828,0.33791467547416687
V0026,coercive_credit_collection,"Ends in Send for Credit Collection after payment, notification, and penalty steps.",3.0,delinquent_payment,1.0,0.014266159385442734,0.33387914299964905
V0027,administrative_appeal_prefecture,Involves an administrative appeal to the prefecture and concludes with an appeal to a judge.,2.0,coercive_credit_collection,1.0,0.3346560299396515,0.33538150787353516
V0028,timely_payment,Prompt payments shortly after fine issuance realize timely payment.,1.0,delinquent_payment,2.0,0.0050190407782793045,0.008790065534412861
V0029,,"Ends directly with an appeal to a judge after penalty, not fitting standard payment, prefecture appeal, or credit collection.",,coercive_credit_collection,1.0,,0.0012033804086968303
V0030,administrative_appeal_prefecture,Consists entirely of a prefecture appeal sequence up to result notification.,1.0,coercive_credit_collection,1.0,0.3495374023914337,0.33343949913978577
V0031,delinquent_payment,Involves an appeal to a judge and substantial delay before late payment.,2.0,coercive_credit_collection,1.0,0.36746037006378174,0.0013200849061831832
V0032,administrative_appeal_prefecture,Involves an appeal to the prefecture up to receiving the result.,2.0,coercive_credit_collection,2.0,0.3650336265563965,0.3434443473815918
V0033,delinquent_payment,"Involves a prefecture appeal, judge appeal, and eventual late payment.",5.0,administrative_appeal_prefecture,1.0,0.3536292612552643,0.00045500797568820417
V0034,administrative_appeal_prefecture,Represents a complete administrative appeal cycle through the prefecture.,2.0,coercive_credit_collection,1.0,0.3446713387966156,0.33656248450279236
V0035,administrative_appeal_prefecture,Involves a prefecture appeal sequence followed by a judge appeal.,2.0,coercive_credit_collection,1.0,0.33947286009788513,0.33434775471687317
V0036,delinquent_payment,Involves late payments interspersed with penalties.,2.0,coercive_credit_collection,1.0,0.03053930215537548,0.004234648775309324
V0037,delinquent_payment,Involves a judge appeal and subsequent late payments.,2.0,coercive_credit_collection,1.0,0.042204421013593674,0.0008981942664831877
