scope,scope_kind,category_name,indicator_id,indicator_name,unit,measured_value,satisfaction,target,threshold,worst,one_sided,provenance,n_cases,n_measured,n_not_applicable,n_no_start,n_no_end,coverage,source
__baseline__,baseline,,112,Time to fine dispatch (days),days,87.51452024451775,4,30.0,90.0,360.0,False,statutory,150370,103987,0,0,46383,0.6915,"threshold 90 d and worst 360 d: Art. 201 D.Lgs. 285/1992 (ordinary notification term; extended term for parties resident abroad). target 30 d: L. 241/1990 art. 2 c.2, the default term for concluding an administrative proceeding, applied by analogy as an operational aspiration -- the specific term in Art. 201 is what binds."
__baseline__,baseline,,113,"Time to appeal filing, Prefecture (days)",days,48.58478898249091,100,60.0,60.0,120.0,True,statutory,150370,4036,146182,145,7,0.9637,"threshold 60 d: Art. 203 D.Lgs. 285/1992, the window for a ricorso al Prefetto; corroborated by the Delay Prefecture' < 60 days guard in Mannhardt et al. (2016, Fig. 8). target == threshold because an admissibility window is a boundary, not a gradient. worst 120 d illustrative (2x the window)."
__baseline__,baseline,,175,"Time to appeal filing, Judge (days)",days,95.89304522924411,-100,30.0,30.0,60.0,True,statutory,150370,538,149815,17,0,0.9694,"threshold 30 d: Art. 204-bis D.Lgs. 285/1992, the window for a ricorso al Giudice di Pace -- half the Prefecture window, which v1.1 collapsed into a single 60-day indicator taken from Mannhardt et al. (2016, Fig. 8)'s Delay Judge' guard rather than from the statute. worst 60 d illustrative (2x)."
__baseline__,baseline,,114,Average time to case closure (days),days,378.7230786161043,-100,150.0,180.0,365.0,False,external-by-analogy,150370,126840,0,0,23530,0.8435,"threshold 180 d: L. 241/1990 art. 2, which caps any administrative proceeding's term at 180 days. target 150 d: Art. 201's 90-day notification term plus Art. 203's 60-day payment/appeal window, i.e. the earliest lawful completion of an uncontested case. worst 365 d illustrative. Replaces v1.1's acknowledged invented placeholder."
enforced_case_closure,category,Enforced case closure,112,Time to fine dispatch (days),days,84.13773645530776,9,30.0,90.0,360.0,False,statutory,58873,58873,0,0,0,1.0,"threshold 90 d and worst 360 d: Art. 201 D.Lgs. 285/1992 (ordinary notification term; extended term for parties resident abroad). target 30 d: L. 241/1990 art. 2 c.2, the default term for concluding an administrative proceeding, applied by analogy as an operational aspiration -- the specific term in Art. 201 is what binds."
enforced_case_closure,category,Enforced case closure,113,"Time to appeal filing, Prefecture (days)",days,41.57369402985075,100,60.0,60.0,120.0,True,statutory,58873,268,58605,0,0,1.0,"threshold 60 d: Art. 203 D.Lgs. 285/1992, the window for a ricorso al Prefetto; corroborated by the Delay Prefecture' < 60 days guard in Mannhardt et al. (2016, Fig. 8). target == threshold because an admissibility window is a boundary, not a gradient. worst 120 d illustrative (2x the window)."
enforced_case_closure,category,Enforced case closure,175,"Time to appeal filing, Judge (days)",days,135.46111111111114,-100,30.0,30.0,60.0,True,statutory,58873,15,58858,0,0,1.0,"threshold 30 d: Art. 204-bis D.Lgs. 285/1992, the window for a ricorso al Giudice di Pace -- half the Prefecture window, which v1.1 collapsed into a single 60-day indicator taken from Mannhardt et al. (2016, Fig. 8)'s Delay Judge' guard rather than from the statute. worst 60 d illustrative (2x)."
enforced_case_closure,category,Enforced case closure,114,Average time to case closure (days),days,689.645723987793,-100,150.0,180.0,365.0,False,external-by-analogy,58873,58873,0,0,0,1.0,"threshold 180 d: L. 241/1990 art. 2, which caps any administrative proceeding's term at 180 days. target 150 d: Art. 201's 90-day notification term plus Art. 203's 60-day payment/appeal window, i.e. the earliest lawful completion of an uncontested case. worst 365 d illustrative. Replaces v1.1's acknowledged invented placeholder."
timely_payment,category,Resolve via timely payment,112,Time to fine dispatch (days),days,87.61680337994763,3,30.0,90.0,360.0,False,statutory,66620,20237,0,0,46383,0.3038,"threshold 90 d and worst 360 d: Art. 201 D.Lgs. 285/1992 (ordinary notification term; extended term for parties resident abroad). target 30 d: L. 241/1990 art. 2 c.2, the default term for concluding an administrative proceeding, applied by analogy as an operational aspiration -- the specific term in Art. 201 is what binds."
timely_payment,category,Resolve via timely payment,113,"Time to appeal filing, Prefecture (days)",days,67.05040792540792,-11,60.0,60.0,120.0,True,statutory,66620,143,66468,4,5,0.9408,"threshold 60 d: Art. 203 D.Lgs. 285/1992, the window for a ricorso al Prefetto; corroborated by the Delay Prefecture' < 60 days guard in Mannhardt et al. (2016, Fig. 8). target == threshold because an admissibility window is a boundary, not a gradient. worst 120 d illustrative (2x the window)."
timely_payment,category,Resolve via timely payment,175,"Time to appeal filing, Judge (days)",days,89.05324074074075,-100,30.0,30.0,60.0,True,statutory,66620,18,66602,0,0,1.0,"threshold 30 d: Art. 204-bis D.Lgs. 285/1992, the window for a ricorso al Giudice di Pace -- half the Prefecture window, which v1.1 collapsed into a single 60-day indicator taken from Mannhardt et al. (2016, Fig. 8)'s Delay Judge' guard rather than from the statute. worst 60 d illustrative (2x)."
timely_payment,category,Resolve via timely payment,114,Average time to case closure (days),days,104.19959221455018,100,150.0,180.0,365.0,False,external-by-analogy,66620,66620,0,0,0,1.0,"threshold 180 d: L. 241/1990 art. 2, which caps any administrative proceeding's term at 180 days. target 150 d: Art. 201's 90-day notification term plus Art. 203's 60-day payment/appeal window, i.e. the earliest lawful completion of an uncontested case. worst 365 d illustrative. Replaces v1.1's acknowledged invented placeholder."
administrative_appeal,category,Resolve via administrative appeal to the Prefecture,112,Time to fine dispatch (days),days,89.70552330937903,0,30.0,90.0,360.0,False,statutory,3618,3618,0,0,0,1.0,"threshold 90 d and worst 360 d: Art. 201 D.Lgs. 285/1992 (ordinary notification term; extended term for parties resident abroad). target 30 d: L. 241/1990 art. 2 c.2, the default term for concluding an administrative proceeding, applied by analogy as an operational aspiration -- the specific term in Art. 201 is what binds."
administrative_appeal,category,Resolve via administrative appeal to the Prefecture,113,"Time to appeal filing, Prefecture (days)",days,48.93749401168919,100,60.0,60.0,120.0,True,statutory,3618,3479,4,134,1,0.9626,"threshold 60 d: Art. 203 D.Lgs. 285/1992, the window for a ricorso al Prefetto; corroborated by the Delay Prefecture' < 60 days guard in Mannhardt et al. (2016, Fig. 8). target == threshold because an admissibility window is a boundary, not a gradient. worst 120 d illustrative (2x the window)."
administrative_appeal,category,Resolve via administrative appeal to the Prefecture,175,"Time to appeal filing, Judge (days)",days,128.32291666666666,-100,30.0,30.0,60.0,True,statutory,3618,12,3603,3,0,0.8,"threshold 30 d: Art. 204-bis D.Lgs. 285/1992, the window for a ricorso al Giudice di Pace -- half the Prefecture window, which v1.1 collapsed into a single 60-day indicator taken from Mannhardt et al. (2016, Fig. 8)'s Delay Judge' guard rather than from the statute. worst 60 d illustrative (2x)."
administrative_appeal,category,Resolve via administrative appeal to the Prefecture,114,Average time to case closure (days),days,311.31560114503816,-70,150.0,180.0,365.0,False,external-by-analogy,3618,524,0,0,3094,0.1448,"threshold 180 d: L. 241/1990 art. 2, which caps any administrative proceeding's term at 180 days. target 150 d: Art. 201's 90-day notification term plus Art. 203's 60-day payment/appeal window, i.e. the earliest lawful completion of an uncontested case. worst 365 d illustrative. Replaces v1.1's acknowledged invented placeholder."
judicial_appeal,category,Resolve via judicial appeal to the Judge,112,Time to fine dispatch (days),days,94.69237764550263,-1,30.0,90.0,360.0,False,statutory,504,504,0,0,0,1.0,"threshold 90 d and worst 360 d: Art. 201 D.Lgs. 285/1992 (ordinary notification term; extended term for parties resident abroad). target 30 d: L. 241/1990 art. 2 c.2, the default term for concluding an administrative proceeding, applied by analogy as an operational aspiration -- the specific term in Art. 201 is what binds."
judicial_appeal,category,Resolve via judicial appeal to the Judge,113,"Time to appeal filing, Prefecture (days)",days,34.96375570776255,100,60.0,60.0,120.0,True,statutory,504,146,354,3,1,0.9733,"threshold 60 d: Art. 203 D.Lgs. 285/1992, the window for a ricorso al Prefetto; corroborated by the Delay Prefecture' < 60 days guard in Mannhardt et al. (2016, Fig. 8). target == threshold because an admissibility window is a boundary, not a gradient. worst 120 d illustrative (2x the window)."
judicial_appeal,category,Resolve via judicial appeal to the Judge,175,"Time to appeal filing, Judge (days)",days,94.14950980392156,-100,30.0,30.0,60.0,True,statutory,504,493,0,11,0,0.9782,"threshold 30 d: Art. 204-bis D.Lgs. 285/1992, the window for a ricorso al Giudice di Pace -- half the Prefecture window, which v1.1 collapsed into a single 60-day indicator taken from Mannhardt et al. (2016, Fig. 8)'s Delay Judge' guard rather than from the statute. worst 60 d illustrative (2x)."
judicial_appeal,category,Resolve via judicial appeal to the Judge,114,Average time to case closure (days),days,701.8083333333334,-100,150.0,180.0,365.0,False,external-by-analogy,504,460,0,0,44,0.9127,"threshold 180 d: L. 241/1990 art. 2, which caps any administrative proceeding's term at 180 days. target 150 d: Art. 201's 90-day notification term plus Art. 203's 60-day payment/appeal window, i.e. the earliest lawful completion of an uncontested case. worst 365 d illustrative. Replaces v1.1's acknowledged invented placeholder."
