2026-09-04 14:50:05,195 [INFO] goalcat: Run environment: host=Mac-Daniel.local, platform=macOS-26.6.2-arm64-arm-64bit-Mach-O, python=3.14.6, cpu_count=8, total_ram_gib=8.0
2026-09-04 14:50:05,195 [INFO] goalcat: ICPM 2027 condition run starting: run_id=icpm2027_e1_label_list_strict_rep2, steps=[6], taxonomy_mode=intent_guided, goal_model=None
2026-09-04 14:50:05,196 [INFO] goalcat: Step 6 (narrative assignment) started for log: /Users/danielcalegari/vsc-workspace/GoalCat/data/logs/bpic2019.xes.gz
2026-09-04 14:50:05,196 [INFO] goalcat: Loading profiles/narratives from existing run directory: /Users/danielcalegari/vsc-workspace/GoalCat/data/output/bpic2019/icpm2027_e1_label_list_strict_rep2
2026-09-04 14:50:05,637 [INFO] goalcat: Loading taxonomy from: /Users/danielcalegari/vsc-workspace/GoalCat/data/output/bpic2019/icpm2027_e1_label_list_strict_rep2/round1/05_taxonomy/taxonomy.json
2026-09-04 14:50:05,651 [INFO] goalcat: Assigning 11973 narratives against 4 categories (model=gemini/gemini-3.5-flash-lite, batch_size=25, concurrency=5)
2026-09-04 14:50:12,009 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=ee53dac176e29da0, latency=4.47s)
2026-09-04 14:50:12,820 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=40cba2e3c04824ca, latency=5.28s)
2026-09-04 14:50:13,253 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=0ce8db4576b0e743, latency=5.71s)
2026-09-04 14:50:13,287 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=eff44f312bcd490f, latency=5.74s)
2026-09-04 14:50:13,889 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=678cbc81219978bb, latency=6.35s)
2026-09-04 14:50:17,355 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=44e2790daf0c8998, latency=5.34s)
2026-09-04 14:50:17,964 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=dc49b5aac8a87681, latency=4.71s)
2026-09-04 14:50:17,970 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=3d8d7f8b6dd76d8b, latency=5.15s)
2026-09-04 14:50:18,495 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=7a2a242b583fa545, latency=4.61s)
2026-09-04 14:50:18,614 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=02440770d432ffb7, latency=5.33s)
2026-09-04 14:50:21,959 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=8a43e1180b982b68, latency=4.60s)
2026-09-04 14:50:22,574 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=9c48ed27c4122d9e, latency=4.60s)
2026-09-04 14:50:23,288 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=0b091c65cfea3d23, latency=5.32s)
2026-09-04 14:50:23,292 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=5982b19e9c922b62, latency=4.80s)
2026-09-04 14:50:23,604 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=ca753ef742c7fbc6, latency=4.99s)
2026-09-04 14:50:26,771 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=ba8dcb3d41bea4c5, latency=4.81s)
2026-09-04 14:50:27,757 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=2e86531a2c0adef2, latency=5.18s)
2026-09-04 14:50:28,509 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=c8a381de9e4dc117, latency=5.22s)
2026-09-04 14:50:28,564 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=ddf84378c21a5df8, latency=5.27s)
2026-09-04 14:50:28,589 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=98dcf23bd46b27aa, latency=4.98s)
2026-09-04 14:50:31,789 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=18ff3e7e1b7ab096, latency=5.02s)
2026-09-04 14:50:33,220 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=d8e852a6ec9a47bf, latency=5.46s)
2026-09-04 14:50:33,733 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=e281056d7c652761, latency=5.17s)
2026-09-04 14:50:33,738 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=05a5d7208fd0b9f2, latency=5.15s)
